tmkey,tlkey,office,gender,age,gender_l,office_l,age_l,lc1,lc2,lc3,lc4,lc5,lc6,lc7,lc8,lct0,as1,as2,as3,as4,as5,as6,as7,lmx1,lmx2,lmx3,lmx4,lmx5,lmx6,lmx7,lmxt2,otenure_l,ttenure_l,tm_oten,tm_tten,otenure,ttenure,extrav1,extrav2,extrav3,extrav4,cons1,cons2,cons3,cons4,neuro1,neuro2,neuro3,neuro4,intel1,intel2,intel3,intel4,extrav,cons,neuro,intel,pla
5044,1008,1,3,2,2,1,2,5,4,5,5,5,5,5,4,4.75,4,3,5,4,4,5,4,4,4,4,4,4,4,4,4,6,1,10,10,10 mois,10 mois,5,5,5,5,2,3,4,2,2,4,4,2,4,5,2,4,5,2.75,3,3.75,4.875
5045,1008,1,4,2,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,4.71,6,1,24,12,2,1,5,5,5,5,2,3,4,2,2,4,4,2,4,5,2,4,5,2.75,3,3.75,4.875
5046,1008,1,3,2,2,1,2,4,4,4,4,4,3,4,4,3.88,,,,,,,,,,,,,,,,6,1,48,48,4,4,5,5,5,5,2,3,4,2,2,4,4,2,4,5,2,4,5,2.75,3,3.75,4
5048,1008,1,3,2,2,1,2,5,5,5,5,5,1,5,4,4.38,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,6,1,84,6,7,moins de 1ans,5,5,5,5,2,3,4,2,2,4,4,2,4,5,2,4,5,2.75,3,3.75,5
5049,1100,2,4,5,1,2,3,3,3,4,4,3,3,4,3,3.38,,,,,,,,,,,,,,,,10,2,180,24,15,2, , , , , , , , , , , , , , , , , , , , ,4
5050,1100,2,4,4,1,2,3,4,4,4,4,4,4,4,4,4,4,3,5,4,3,4,5,3,3,4,5,5,4,4,4,10,2,228,132,19,11, , , , , , , , , , , , , , , , , , , , ,4.5
5051,1100,2,4,3,1,2,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,10,2,120,120,10 ans,10 ans, , , , , , , , , , , , , , , , , , , , ,2.375
5052,1100,2,4,2,1,2,3,4,4,4,3,4,4,5,4,4,4,3,4,3,4,4,3,5,4,5,3,4,4,4,4.14,10,2,48,12,4,1, , , , , , , , , , , , , , , , , , , , ,3.75
5053,1100,2,4,3,1,2,3,3,2,1,2,1,1,2,2,1.75,,,,,,,,,,,,,,,,10,2,84,18,7,1 1/2, , , , , , , , , , , , , , , , , , , , ,3.875
5054,1100,2,3,5,1,2,3,4,4,4,4,5,2,4,4,3.88,,,,,,,,,,,,,,,,10,2,384,12,32,1, , , , , , , , , , , , , , , , , , , , ,4
5055,1100,2,4,5,1,2,3,4,4,4,4,4,4,4,3,3.88,4,3,5,4,3,4,2,5,4,5,4,4,4,5,4.43,10,2,240,240,20 ans,20 ans, , , , , , , , , , , , , , , , , , , , ,4
5056,1100,2,4,4,1,2,3,4,4,4,4,4,3,4,4,3.88,4,3,4,3,3,4,3,4,3,3,2,4,4,4,3.43,10,2,132,132,11,11, , , , , , , , , , , , , , , , , , , , ,4
5057,1100,2,3,3,1,2,3,4,4,3,4,4,3,4,5,3.88,,,,,,,,,,,,,,,,10,2,12,12,1,1, , , , , , , , , , , , , , , , , , , , ,5
5058,1100,2,4,3,1,2,3,2,2,3,3,2,3,3,1,2.38,,,,,,,,,,,,,,,,10,2,84,24,7,2, , , , , , , , , , , , , , , , , , , , ,3.25
5059,1100,2,4,3,1,2,3,3,3,2,2,1,1,2,2,2,,,,,,,,,,,,,,,,10,2,228,228,19,19, , , , , , , , , , , , , , , , , , , , ,3.875
5060,1100,2,4,3,1,2,3,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,10,2,36,6,3 ans,6 mois, , , , , , , , , , , , , , , , , , , , ,4.125
5061,1100,2,3,3,1,2,3,4,5,4,4,4,4,4,4,4.13,,,,,,,,,,,,,,,,10,2,204,24,17 ans,2 ans, , , , , , , , , , , , , , , , , , , , ,3.75
5062,1100,2,4,3,1,2,3,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,10,2,180,3,15,3 mois, , , , , , , , , , , , , , , , , , , , ,4.375
5063,1019,2,4,4,2,2,4,4,3,4,4,4,5,5,3,4,,,,,,,,,,,,,,,,31,2,204,204,17,17,4,5,4,5,4,5,4,4,1,2,1,1,4,3,3,4,4.5,4.25,1.25,3.5,5
5064,1019,2,4,,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,31,2, , ,,,4,5,4,5,4,5,4,4,1,2,1,1,4,3,3,4,4.5,4.25,1.25,3.5,5
5065,1019,2,4,5,2,2,4,4,4,4,4,4,3,4,4,3.88,,,,,,,,,,,,,,,,31,2,96,96,8,8,4,5,4,5,4,5,4,4,1,2,1,1,4,3,3,4,4.5,4.25,1.25,3.5,4
5066,1019,2,4,2,2,2,4,3,3,3,3,3,3,4,3,3.13,5,4,5,4,4,4,3,3,3,4,5,5,4,4,4,31,2,24,24,2,2,4,5,4,5,4,5,4,4,1,2,1,1,4,3,3,4,4.5,4.25,1.25,3.5,4.375
5067,1019,2,4,2,2,2,4,3,4,5,3,5,4,5,2,3.88,4,4,5,4,4,4,4,4,3,3,4,5,5,4,4,31,2,24,24,2,2,4,5,4,5,4,5,4,4,1,2,1,1,4,3,3,4,4.5,4.25,1.25,3.5,4.875
5068,1019,2,3,3,2,2,4,5,5,5,5,5,3,5,2,4.38,5,4,5,4,5,5,1,4,5,4,5,5,5,5,4.71,31,2,4,4,0,0,4,5,4,5,4,5,4,4,1,2,1,1,4,3,3,4,4.5,4.25,1.25,3.5,5
5069,1019,2,4,3,2,2,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,31,2,60,60,5 ans,5 ans,4,5,4,5,4,5,4,4,1,2,1,1,4,3,3,4,4.5,4.25,1.25,3.5,5
5070,1019,2,4,4,2,2,4,5,5,5,5,5,4,5,3,4.63,,,,,,,,,,,,,,,,31,2,96,96,8,8,4,5,4,5,4,5,4,4,1,2,1,1,4,3,3,4,4.5,4.25,1.25,3.5,5
5071,1019,2,4,3,2,2,4,4,4,4,4,4,4,4,4,4,4,3,5,3,2,4,4,4,4,4,4,4,4,4,4,31,2,108,12,9,1,4,5,4,5,4,5,4,4,1,2,1,1,4,3,3,4,4.5,4.25,1.25,3.5,5
5072,1019,2,4,5,2,2,4,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,31,2,336,24,28 ans,2 ans,4,5,4,5,4,5,4,4,1,2,1,1,4,3,3,4,4.5,4.25,1.25,3.5,5
5073,1019,2,4,5,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,3,5,4,5,4.57,31,2,372,96,31 ans,8 ans,4,5,4,5,4,5,4,4,1,2,1,1,4,3,3,4,4.5,4.25,1.25,3.5,4.75
5074,1019,2,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,3,4,4,4,3,4,4,4,3.86,31,2,96,96,8,8,4,5,4,5,4,5,4,4,1,2,1,1,4,3,3,4,4.5,4.25,1.25,3.5,4
5075,1019,2,4,3,2,2,4,5,5,5,5,5,4,5,3,4.63,4,2,4,4,4,4,4,5,5,5,5,5,5,5,5,31,2,132,60,11,5,4,5,4,5,4,5,4,4,1,2,1,1,4,3,3,4,4.5,4.25,1.25,3.5,4.875
5076,1019,2,4,5,2,2,4,5,5,5,5,5,5,5,4,4.88,,,,,,,,,,,,,,,,31,2,312,312,26,26,4,5,4,5,4,5,4,4,1,2,1,1,4,3,3,4,4.5,4.25,1.25,3.5,5
5077,1002,4,4,2,1,4,3,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,3,5,5,5,3,5,3,4,4.29,12,5,36,36,3,3,1,3,4,4,1,4,5,4,1,1,1,1,2,4,2,4,3,3.5,1,3,5
5078,1002,4,4,2,1,4,3,4,5,5,5,5,5,5,4,4.75,,,,,,,,,,,,,,,,12,5,24,24,2,2,1,3,4,4,1,4,5,4,1,1,1,1,2,4,2,4,3,3.5,1,3,5
5079,1002,4,3,2,1,4,3,4.5,4.5,4.5,4.5,4.5,3.5,4.5,4.5,4.38,,,,,,,,,,,,,,,,12,5,18,18,1.5,1.5,1,3,4,4,1,4,5,4,1,1,1,1,2,4,2,4,3,3.5,1,3,4
5080,1002,4,4,3,1,4,3,5,5,5,5,5,5,4,5,4.88,,,,,,,,,,,,,,,,12,5,84,180,7,15,1,3,4,4,1,4,5,4,1,1,1,1,2,4,2,4,3,3.5,1,3,5
5081,1002,4,4,4,1,4,3,4,5,5,5,5,4,5,5,4.75,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,12,5,144,96,12,8,1,3,4,4,1,4,5,4,1,1,1,1,2,4,2,4,3,3.5,1,3,4.125
5082,1002,4,4,2,1,4,3,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,12,5,12,12,1,1,1,3,4,4,1,4,5,4,1,1,1,1,2,4,2,4,3,3.5,1,3,5
5083,1002,4,4,2,1,4,3,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,12,5,84,84,7,7,1,3,4,4,1,4,5,4,1,1,1,1,2,4,2,4,3,3.5,1,3,5
5084,1002,4,3,4,1,4,3,5,4,4,4,4,3,4,3,3.88,5,3,5,5,5,5,5,4,4,5,5,4,3,4,4.14,12,5,6,6,moins de 1 an,moins de 1 an,1,3,4,4,1,4,5,4,1,1,1,1,2,4,2,4,3,3.5,1,3,3.875
5085,1018,4,4,4,2,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,34,20,336,216,28 ans,18 ans,5,2,5,5,5,5,5,5,3,2,1,3,4,5,3,5,4.25,5,2.25,4.25,5
5086,1018,4,4,4,2,4,5,3,4,4,4,4,4,4,4,3.88,4,4,5,5,5,5,4,4,4,3,5,5,5,5,4.43,34,20,288,288,23,23,5,2,5,5,5,5,5,5,3,2,1,3,4,5,3,5,4.25,5,2.25,4.25,4
5087,1018,4,3,4,2,4,5,4,5,5,5,5,3,5,5,4.63,,,,,,,,,,,,,,,,34,20,36,36,3,3,5,2,5,5,5,5,5,5,3,2,1,3,4,5,3,5,4.25,5,2.25,4.25,4
5088,1018,4,4,2,2,4,5,5,5,5,5,5,4,5,5,4.88,,,,,,,,,,,,,,,,34,20,18,18,1an et demi,1 an et demi,5,2,5,5,5,5,5,5,3,2,1,3,4,5,3,5,4.25,5,2.25,4.25,5
5089,1018,4,4,3,2,4,5,4,4,4,4,4,3,4,4,3.88,4,3,5,4,4,4,5,4,4,4,4,4,4,4,4,34,20,108,48,9,4,5,2,5,5,5,5,5,5,3,2,1,3,4,5,3,5,4.25,5,2.25,4.25,4
5090,1018,4,3,2,2,4,5,4,4,4,4,4,4,4,3,3.88,,,,,,,,,,,,,,,,34,20,12,12,1,1,5,2,5,5,5,5,5,5,3,2,1,3,4,5,3,5,4.25,5,2.25,4.25,5
5091,1062,3,4,5,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2 ans,12,30,30,2.5 ann̩es,2.5 ann̩es,5,4,4,4,3,4,4,4,2,2,2,2,5,4,2,5,4.25,3.75,2,4,4
5092,1062,3,4,4,2,3,3,3,3,4,3,4,4,4,3,3.5,5,4,5,3,3,3,4,4,5,4,5,5,5,5,4.71,2 ans,12,444,324,27,27,5,4,4,4,3,4,4,4,2,2,2,2,5,4,2,5,4.25,3.75,2,4,5
5093,1062,3,4,5,2,3,3,4,4,4,4,4,4,4,4,4,5,3,4,3,3,4,4,3,3,3,4,4,4,4,3.57,2 ans,12,432,12,36 ans.,1 an,5,4,4,4,3,4,4,4,2,2,2,2,5,4,2,5,4.25,3.75,2,4,5
5094,1062,3,4,5,2,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,1,4,4,4,4,4,4,4,4,2 ans,12,24,84,2 ans,7 ans,5,4,4,4,3,4,4,4,2,2,2,2,5,4,2,5,4.25,3.75,2,4,5
5095,1062,3,4,4,2,3,3,4,4,4,4,4,4,4,3,3.88,,,,,,,,,,,,,,,,2 ans,12,240,24,20,2,5,4,4,4,3,4,4,4,2,2,2,2,5,4,2,5,4.25,3.75,2,4,5
5096,1062,3,4,5,2,3,3,5,4,4,4,5,5,5,3,4.38,4,3,5,5,4,5,5,4,4,5,5,5,5,5,4.71,2 ans,12,456,24,38 ans,2,5,4,4,4,3,4,4,4,2,2,2,2,5,4,2,5,4.25,3.75,2,4,5
5097,1062,3,4,5,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,5,5,5,5,5,5,5,5,2 ans,12,360,360,30,30,5,4,4,4,3,4,4,4,2,2,2,2,5,4,2,5,4.25,3.75,2,4,4.875
5098,1044,3,4,3,2,3,2,4,4,5,5,5,4,5,3,4.38,4,4,5,4,4,4,5,4,4,4,5,5,4,5,4.43,10,10,4,4,0,0,3,3,4,5,5,5,5,5,3,3,3,4,3,5,1,3,3.75,5,3.25,3,4.75
5099,1044,3,4,2,2,3,2,2,3,3,2,4,2,2,1,2.38,4,4,4,4,4,4,5,4,4,4,5,5,5,4,4.43,10,10,18,18,1 an et demie,1 an et demie,3,3,4,5,5,5,5,5,3,3,3,4,3,5,1,3,3.75,5,3.25,3,4
5100,1044,3,4,1,2,3,2,5,5,5,4,4,4,4,2,4.13,4,1,4,1,1,2,4,3,3,3,3,3,3,3,3,10,10,12,12,1,1,3,3,4,5,5,5,5,5,3,3,3,4,3,5,1,3,3.75,5,3.25,3,4
5101,1044,3,4,4,2,3,2,4,3,4,3,4,4,2,2,3.25,4,4,4,4,4,4,3,3,3,4,4,4,4,3,3.57,10,10,360,24,30,2,3,3,4,5,5,5,5,5,3,3,3,4,3,5,1,3,3.75,5,3.25,3,4
5102,1044,3,4,3,2,3,2,4,4,4,4,4,4,4,3,3.88,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,10,4,4,0,0,3,3,4,5,5,5,5,5,3,3,3,4,3,5,1,3,3.75,5,3.25,3,4
5103,1044,3,4,4,2,3,2,4,4,4,4,4,3,5,3,3.88,5,5,5,4,4,4,5,4,3,4,4,4,4,4,3.86,10,10,42,42,3.5,3.5,3,3,4,5,5,5,5,5,3,3,3,4,3,5,1,3,3.75,5,3.25,3,3.75
5104,1098,3,4,5,2,3,4,4,3,5,3,5,4,4,4,4,,,,,,,,,,,,,,,,7,5,360,84,30 ans,7 ans, , , , , , , , , , , , , , , , , , , , ,
5105,1098,3,4,3,2,3,4,4,5,3,4,4,5,5,2,4,4,4,5,4,4,4,5,5,5,5,5,5,5,5,5,7,5,72,72,6 ans,6 ans, , , , , , , , , , , , , , , , , , , , ,4.375
5106,1098,3,4,5,2,3,4,4,4,4,4,4,4,4,2,3.75,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,7,5,24,24,2 ans,2 ans, , , , , , , , , , , , , , , , , , , , ,5
5107,1098,3,4,5,2,3,4,4,4,4,4,5,2,4,2,3.63,4,4,4,4,4,4,3,5,5,4,3,5,3,5,4.29,7,5,180,180,15 ans,15 ans, , , , , , , , , , , , , , , , , , , , ,5
5108,1098,3,4,5,2,3,4,4,4,3,4,5,2,4,3,3.63,1,4,5,4,5,4,3,4,4,5,4,4,4,4,4.14,7,5,252,252,21 ans,21 ans, , , , , , , , , , , , , , , , , , , , ,3.5
5109,1098,3,4,4,2,3,4,5,4,4,4,4,4,4,3,4,3,2,4,3,4,4,4,4,4,4,4,4,4,4,4,7,5,84,84,7 ans,7 ans, , , , , , , , , , , , , , , , , , , , ,4
5110,1098,3,4,3,2,3,4,5,5,5,5,5,5,5,4,4.88,4,4,5,4,3,4,3,4,4,4,4,4,4,4,4,7,5,3,3,"0 ans, 3 mois","0 ans, 3 mois", , , , , , , , , , , , , , , , , , , , ,4
5111,1098,3,4,5,2,3,4,5,5,5,5,5,5,5,4,4.88,4,4,5,4,4,4,4,5,5,5,5,5,5,5,5,7,5,336,336,28,28, , , , , , , , , , , , , , , , , , , , ,5
5112,1098,3,4,3,2,3,4,5,5,5,5,5,5,5,4,4.88,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,5,180,108,+15 ans,9 ans, , , , , , , , , , , , , , , , , , , , ,5
5113,1047,6,4,4,1,6,4,4,4,4,4,4,3,4,3,3.75,4,3,4,4,4,2,4,4,4,4,4,4,4,4,4,3,1,348,348,29 ans,29 ans, , , , , , , , , , , , , , , , , , , , ,4
5114,1047,6,4,4,1,6,4,4,4,4,4,4,4,4,2,3.75,4,4,5,4,4,4,3,4,4,4,3,4,3,4,3.71,3,1,300,300,25 ans,25, , , , , , , , , , , , , , , , , , , , ,3.25
5115,1047,6,4,3,1,6,4,5,5,4,3,3,3,3,3,3.63,4,4,4,3,4,3,4,4,4,4,3,4,4,4,3.86,3,1,168,168,14,14, , , , , , , , , , , , , , , , , , , , ,4
5116,1047,6,4,5,1,6,4,5,5,5,4,4,4,5,3,4.38,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,372,348,31 ans,29, , , , , , , , , , , , , , , , , , , , ,4
5117,1047,6,3,5,1,6,4,5,5,5,4,5,5,5,4,4.75,,,,,,,,,,,,,,,,3,1,8,8,8 mois,8 mois, , , , , , , , , , , , , , , , , , , , ,4.875
5118,1047,6,4,4,1,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,3,4,3.43,3,1,120,120,+10 ans,+10 ans, , , , , , , , , , , , , , , , , , , , ,3.75
5119,1047,6,4,4,1,6,4,4,5,5,5,5,5,5,5,4.88,5,4,5,5,5,5,4,4,4,4,4,4,5,5,4.29,3,1,12,240,1,20, , , , , , , , , , , , , , , , , , , , ,5
5120,1053,6,4,5,2,6,5,4,4,4,4,4,4,4,3,3.88,5,4,4,4,4,4,4,5,5,5,3,3,5,5,4.43,40 ans,2,96,14,8 ans,14 mois, , , , , , , , , , , , , , , , , , , , ,4.625
5121,1053,6,4,4,2,6,5,5,5,5,5,5,5,5,3,4.75,4,3,5,3,4,4,4,3,2,4,2,4,3,2,2.86,40 ans,2,8,8,8 mois,8 mois, , , , , , , , , , , , , , , , , , , , ,4.875
5122,1053,6,4,3,2,6,5,4,4,4,4,4,4,4,3,3.88,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,40 ans,2,48,48,4 ans,4 ans, , , , , , , , , , , , , , , , , , , , ,5
5123,1053,6,4,6,2,6,5,4,4,5,5,4,4,4,3,4.13,5,3,5,4,5,5,5,4,4,4,4,4,4,4,4,40 ans,2,132,132,11,11, , , , , , , , , , , , , , , , , , , , ,4.75
